BEDSCODE,ENTITY_NAME,YEAR,ATTENDANCE_RATE,NUM_SUSPENSIONS,PER_SUSPENSIONS,DATA_REPORTED_ATTENDANCE,DATA_REPORTED_SUSPENSIONS,ATTENDANCE_RATE_RAW,COUNT_OPEN_PIS_ALL,COUNT_OPEN_PIS_ELDERLY,COUNT_OPEN_PIS_FAMILY,EVENT_TIME_ALLOC_ALL,EVENT_TIME_ALLOC_ELDERLY,EVENT_TIME_ALLOC_FAMILY,EVENT_TIME_PIS_ALL,EVENT_TIME_PIS_ELDERLY,EVENT_TIME_PIS_FAMILY,LIHTC_OPEN_ALLOC_ALL,LIHTC_OPEN_ALLOC_ELDERLY,LIHTC_OPEN_ALLOC_FAMILY,LIHTC_OPEN_PIS_ALL,LIHTC_OPEN_PIS_ELDERLY,LIHTC_OPEN_PIS_FAMILY,LIUNITS_OPEN_PIS_ALL,LIUNITS_OPEN_PIS_ELDERLY,LIUNITS_OPEN_PIS_FAMILY,NEVER_TREATED_ALLOC_ALL,NEVER_TREATED_ALLOC_ELDERLY,NEVER_TREATED_ALLOC_FAMILY,NEVER_TREATED_PIS_ALL,NEVER_TREATED_PIS_ELDERLY,NEVER_TREATED_PIS_FAMILY
260801060009,DURAND-EASTMAN INTERMEDIATE SCHOOL,2018,95.0,,,Y,,95.0,1.0,1.0,0.0,10.0,1.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260801060009,DURAND-EASTMAN INTERMEDIATE SCHOOL,2019,95.0,5.0,1.0,Y,Y,95.0,1.0,1.0,0.0,11.0,2.0,0.0,10.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260801060012,EAST IRONDEQUOIT MIDDLE SCHOOL,2018,95.0,,,Y,,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260801060012,EAST IRONDEQUOIT MIDDLE SCHOOL,2019,95.0,107.0,16.0,Y,Y,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260803060001,BRIARWOOD SCHOOL,2018,96.0,,,Y,,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260803060001,BRIARWOOD SCHOOL,2019,97.0,1.0,1.0,Y,Y,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260803060002,DAKE JUNIOR HIGH SCHOOL,2018,95.0,,,Y,,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260803060002,DAKE JUNIOR HIGH SCHOOL,2019,95.0,26.0,5.0,Y,Y,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260803060003,IROQUOIS MIDDLE SCHOOL,2018,96.0,,,Y,,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260803060003,IROQUOIS MIDDLE SCHOOL,2019,96.0,9.0,2.0,Y,Y,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
